日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/23,"39,881,691","1,293,421,962",32.40,32.60,32.25,32.55,+0.30,"12,636"
109/07/24,"56,815,786","1,805,940,382",32.00,32.30,31.25,31.35,X0.00,"22,186"
109/07/27,"31,517,142","969,151,046",31.50,31.60,30.55,30.60,-0.75,"13,032"
109/07/28,"46,359,056","1,399,277,530",30.65,31.30,29.30,29.40,-1.20,"18,292"
109/07/29,"40,919,990","1,191,850,548",28.80,29.70,28.80,29.25,-0.15,"13,906"
109/07/30,"156,161,509","4,999,413,921",31.55,32.15,31.00,32.15,+2.90,"36,448"
109/07/31,"78,078,798","2,479,623,131",31.95,32.10,31.40,31.70,-0.45,"28,062"
109/08/03,"32,048,721","1,003,231,656",31.70,31.70,31.10,31.15,-0.55,"12,962"
109/08/04,"31,763,704","981,621,458",31.50,31.50,30.65,30.80,-0.35,"13,246"
109/08/05,"21,932,069","681,919,889",30.95,31.30,30.85,31.00,+0.20,"9,086"
109/08/06,"31,678,823","980,252,367",31.25,31.30,30.70,30.75,-0.25,"13,195"
109/08/07,"27,666,693","843,726,904",31.00,31.05,30.25,30.35,-0.40,"11,205"
109/08/10,"15,147,808","463,724,710",30.55,30.85,30.35,30.50,+0.15,"6,864"
109/08/11,"23,182,609","716,228,448",30.60,31.40,30.50,30.60,+0.10,"9,959"
109/08/12,"17,146,248","519,021,468",30.60,30.60,30.05,30.25,-0.35,"7,521"
109/08/13,"12,049,390","365,759,906",30.50,30.70,30.20,30.20,-0.05,"5,408"
109/08/14,"10,141,302","306,197,944",30.10,30.35,30.05,30.30,+0.10,"4,598"
109/08/17,"11,639,354","353,603,301",30.55,30.55,30.20,30.40,+0.10,"5,077"
109/08/18,"16,286,616","497,395,053",30.65,30.80,30.30,30.45,+0.05,"6,322"
109/08/19,"45,657,601","1,357,917,548",30.25,30.30,29.40,29.50,-0.95,"19,544"
109/08/20,"49,430,239","1,383,107,935",29.20,29.25,26.80,28.25,-1.25,"20,707"
109/08/21,"19,570,618","562,467,322",28.50,29.00,28.30,29.00,+0.75,"8,286"
109/08/24,"17,132,441","502,749,315",29.10,29.70,29.10,29.25,+0.25,"6,687"
109/08/25,"11,836,328","349,098,796",29.60,29.75,29.30,29.45,+0.20,"4,968"
109/08/26,"9,805,514","288,551,837",29.60,29.60,29.25,29.45, 0.00,"3,680"
109/08/27,"17,359,454","517,295,570",29.65,30.00,29.55,30.00,+0.55,"7,064"
109/08/28,"15,821,662","477,563,115",30.15,30.35,30.00,30.15,+0.15,"6,664"
109/08/31,"11,981,722","362,245,828",30.35,30.50,30.00,30.20,+0.05,"4,841"
109/09/01,"13,152,340","393,507,778",30.20,30.25,29.75,30.05,-0.15,"4,968"
109/09/02,"24,478,029","721,628,965",29.85,29.90,29.25,29.30,-0.75,"9,394"
